cutoff,randcounts,truecounts,FDR
0.1,741543.2,887092,0.835925924255883
0.105,723272.65,870085,0.831266657855267
0.11,705290.65,853002,0.826833524423155
0.115,687586.65,836159,0.822315672019317
0.12,670126.4,819675,0.817551346570287
0.125,652959.75,803427,0.812718205885538
0.13,636157.95,787576,0.807741665566244
0.135,619613.9,771914,0.802698098492837
0.14,603311.1,756612,0.797385053369495
0.145,587325.95,741472,0.792108063419792
0.15,571677.35,726722,0.786652048513737
0.155,556289.45,712092,0.781204465153379
0.16,541191.45,697733,0.775642616874936
0.165,526336.45,683469,0.770095571269509
0.17,511812.25,669722,0.764215973194848
0.175,497559.95,655838,0.758662886261546
0.18,483573.5,642412,0.752746679700877
0.185,469873.9,629184,0.746798869647035
0.19,456449.9,616080,0.740893877418517
0.195,443321.6,603303,0.734824126516858
0.2,430454.4,590756,0.728650068725498
0.205,417852.9,578328,0.722518882018509
0.21,405476.75,566086,0.716281183424427
0.215,393401.6,554150,0.709918975006767
0.22,381609.45,542283,0.703709041220175
0.225,370124.05,530507,0.697679860963192
0.23,358827.45,519033,0.691338412008485
0.235,347825.5,507702,0.68509775419439
0.24,337074.85,496475,0.678936200211491
0.245,326529.15,485372,0.672739980880644
0.25,316231.95,474706,0.666163794011451
0.255,306170.7,464050,0.659779549617498
0.26,296349.7,453563,0.65338155890141
0.265,286775.5,443137,0.647148624466023
0.27,277456.2,432994,0.64078532266036
0.275,268356.7,422976,0.634448999470419
0.28,259481.55,413430,0.627631158841884
0.285,250786.9,403836,0.621011747342981
0.29,242374.15,394209,0.614836672932379
0.295,234145.2,384821,0.608452241431731
0.3,226122.8,375725,0.601830594184576
0.305,218292.15,366690,0.595304344269001
0.31,210699.1,357851,0.588790027134198
0.315,203328.1,348845,0.582860869440582
0.32,196108.8,340054,0.576698994865521
0.325,189094.9,331721,0.570041993120725
0.33,182293.15,323372,0.563725832787007
0.335,175655.2,315198,0.557285261962322
0.34,169205.1,307205,0.550788886899627
0.345,162926.05,299430,0.544120662592259
0.35,156810.05,291622,0.537716804630652
0.355,150892.95,284051,0.531217809477875
0.36,145154.25,276632,0.524719663668701
0.365,139581.8,269262,0.518386552874152
0.37,134172.2,262212,0.51169359144509
0.375,128933.6,255103,0.505417811629028
0.38,123839.95,248207,0.498938184660384
0.385,118898.65,241420,0.492497100488775
0.39,114118.85,234843,0.48593677478145
0.395,109476.25,228387,0.479345365541822
0.4,104988,222216,0.472459228858408
0.405,100649.65,215954,0.466069857469646
0.41,96444.6,209844,0.459601418196374
0.415,92405.7,203893,0.453206829072111
0.42,88454.15,197991,0.446758438514882
0.425,84645.4,192170,0.440471457563615
0.43,80964.45,186445,0.43425380138915
0.435,77413.85,180935,0.427854478127504
0.44,73983.7,175624,0.421261900423632
0.445,70673.65,170306,0.41498038824234
0.45,67489.7,165074,0.408845124004992
0.455,64405.3,159994,0.402548220558271
0.46,61428.95,155067,0.396144569766617
0.465,58573.05,150183,0.39001118635265
0.47,55821.2,145444,0.383798575396716
0.475,53171.25,140818,0.377588447499609
0.48,50652.65,136438,0.371250311496797
0.485,48185.2,132058,0.364879068288176
0.49,45836.85,127750,0.358801174168297
0.495,43582.1,123552,0.352742974617975
0.5,41403.6,119244,0.347217470061387
0.505,39306,115252,0.341043973206539
0.51,37312.6,111143,0.335717049206878
0.515,35405.45,107189,0.330308613757009
0.52,33575.6,103315,0.324982819532498
0.525,31824.35,99706,0.319181894770626
0.53,30156.4,96306,0.313131061408427
0.535,28543.15,92822,0.3075041477236
0.54,27008.9,89506,0.301755189596228
0.545,25532,86231,0.296088413679535
0.55,24121.65,82907,0.290948291459105
0.555,22794.45,79787,0.285691278027749
0.56,21536.1,76668,0.280900766943184
0.565,20318.9,73643,0.275910812976115
0.57,19164.35,70670,0.27118084052639
0.575,18072.15,67760,0.266708234946871
0.58,17024.85,65026,0.261816042813644
0.585,16030.1,62300,0.257304975922953
0.59,15093.05,59741,0.252641402052192
0.595,14205.05,57241,0.248162156496218
0.6,13349.15,54775,0.243708808763122
0.605,12555.55,52406,0.239582299736671
0.61,11795.4,50149,0.235207082892979
0.615,11074.45,47944,0.230987193392291
0.62,10382.2,45729,0.227037547289466
0.625,9731.5,43513,0.223645807000207
0.63,9121.95,41543,0.219578509014756
0.635,8546,39533,0.216173829458933
0.64,8001.25,37659,0.212465811625375
0.645,7492.1,35734,0.209663065987575
0.65,7000.55,33968,0.206092498822421
0.655,6544.25,32276,0.202759015987111
0.66,6101.15,30647,0.199078213201945
0.665,5682.35,29069,0.195478000619216
0.67,5281.75,27539,0.191791640945568
0.675,4921.55,26030,0.189072224356512
0.68,4574.6,24697,0.185228975179172
0.685,4244.5,23357,0.181722823992807
0.69,3937.05,22001,0.17894868415072
0.695,3646.95,20668,0.176453938455583
0.7,3374.9,19457,0.173454283805314
0.705,3118.85,18368,0.169798018292683
0.71,2880.85,17278,0.166735154531775
0.715,2665.35,16318,0.163338031621522
0.72,2460.55,15333,0.16047414074219
0.725,2268.25,14350,0.158066202090592
0.73,2086,13465,0.154920163386558
0.735,1918.95,12587,0.152454913799952
0.74,1758.35,11743,0.149736012943881
0.745,1612.65,10996,0.146657875591124
0.75,1470.7,10273,0.143161685972939
0.755,1343.4,9568,0.140405518394649
0.76,1220.45,8925,0.136745098039216
0.765,1108.15,8345,0.132792091072499
0.77,1000.95,7745,0.129238218205294
0.775,905,7197,0.125746838960678
0.78,815.85,6688,0.121987141148325
0.785,730.5,6193,0.117955756499273
0.79,653.65,5741,0.113856470998084
0.795,583.25,5336,0.109304722638681
0.8,516.55,4902,0.105375356997144
0.805,459.9,4536,0.101388888888889
0.81,407.8,4161,0.0980052871905792
0.815,359.05,3800,0.0944868421052632
0.82,319,3481,0.0916403332375754
0.825,280.3,3198,0.0876485303314572
0.83,242.4,2876,0.0842837273991655
0.835,209,2607,0.080168776371308
